,aboutir,investir,traduire,témoigner,juger,justifier,viser,prononcer,accomplir,convenir,acquérir,achever,observer,adapter,admettre,entraîner,payer,respecter,affecter,demeurer,aggraver,agir,ajouter,alimenter,coûter,relancer,préférer,appliquer,apporter,fonder,appuyer,changer,chuter,soutenir,concevoir,interroger,confirmer,transformer,manifester,interpeller,signer,rester,tuer,indiquer,conduire,situer,aider,poursuivre,profiter,détenir,lire,contenir,dominer,noter,dater,adopter,enregistrer,intervenir,conclure,disputer,estimer,appartenir,arriver,chercher,composer,confier,moyennes,data_sizes
0,0.9,0.8400000000000001,0.8800000000000001,0.9200000000000002,0.85,0.9399999999999998,1.0,0.6399999999999999,0.9090909090909092,0.7799999999999999,0.7636363636363637,0.8799999999999999,0.8400000000000001,0.76,0.78,0.9400000000000001,0.7090909090909091,0.9800000000000001,0.72,0.72,0.8400000000000001,0.72,0.74,0.8,0.7200000000000001,0.72,0.7,0.74,0.72,0.8727272727272727,0.9200000000000002,0.7,0.9428571428571428,0.8200000000000001,0.9400000000000001,0.82,0.66,1.0,0.86,1.0,0.9400000000000001,0.72,0.74,0.9200000000000002,0.6599999999999999,1.0,0.7200000000000001,0.86,0.8800000000000001,0.8727272727272727,0.68,0.8,0.909090909090909,0.75,0.96,0.76,0.9,0.8399999999999999,0.8,0.9818181818181818,0.8545454545454545,0.64,0.6727272727272727,0.8,0.9636363636363636,0.9400000000000001,0.8265446674537579,1.0
1,0.85,0.775,0.85,0.9,0.5666666666666667,0.775,0.975,0.675,0.825,0.8,0.675,0.875,0.65,0.675,0.875,0.775,0.6,0.8,0.65,0.7428571428571429,0.925,0.7,0.725,0.775,0.8,0.6,0.7,0.525,0.7,0.85,0.725,0.6285714285714286,0.8333333333333334,0.725,0.95,0.775,0.65,1.0,0.775,0.925,0.75,0.675,0.825,0.875,0.625,0.975,0.675,0.7,0.975,0.875,0.825,0.625,0.85,0.8666666666666666,0.975,0.8,0.8,0.875,0.85,0.9,0.9,0.6,0.6666666666666666,0.85,0.95,0.975,0.7856782106782109,0.75
2,0.8,0.68,0.72,0.8800000000000001,0.5,0.6799999999999999,1.0,0.4,0.8333333333333334,0.5599999999999999,0.6333333333333334,0.9199999999999999,0.64,0.76,0.72,0.72,0.5,0.72,0.52,0.6000000000000001,0.8,0.68,0.64,0.6799999999999999,0.56,0.52,0.52,0.48,0.56,0.6333333333333333,0.8,0.52,0.85,0.5599999999999999,0.8800000000000001,0.76,0.4,1.0,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.52,0.8799999999999999,0.5599999999999999,0.4,0.8800000000000001,0.6,0.68,0.8799999999999999,0.7,0.52,0.44000000000000006,0.7,0.9,0.9199999999999999,0.56,0.72,0.8,0.8,0.9333333333333333,0.8333333333333334,0.56,0.6666666666666667,0.68,0.9333333333333333,0.9199999999999999,0.699040404040404,0.5
3,0.5333333333333333,0.5999999999999999,0.5999999999999999,0.8666666666666666,0.1,0.4666666666666666,0.8666666666666666,0.3333333333333333,0.6666666666666666,0.4666666666666666,0.6,0.6,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.13333333333333333,0.6666666666666666,0.06666666666666667,0.6666666666666666,0.6,0.6666666666666666,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5999999999999999,0.5333333333333333,0.4666666666666666,0.06666666666666667,0.5333333333333333,0.5999999999999999,0.4666666666666666,0.6,0.26666666666666666,0.8666666666666666,0.4666666666666666,0.5999999999999999,1.0,0.4,0.8666666666666666,0.7333333333333333,0.3333333333333333,0.6666666666666667,0.5999999999999999,0.26666666666666666,0.6666666666666667,0.13333333333333333,0.5999999999999999,0.7333333333333333,0.7333333333333333,0.39999999999999997,0.4666666666666666,0.4666666666666666,0.2,1.0,0.4666666666666667,0.4666666666666666,0.6666666666666666,0.5999999999999999,0.6666666666666666,0.8666666666666666,0.4666666666666666,0.3333333333333333,0.5333333333333333,0.7333333333333333,0.8666666666666666,0.5469696969696969,0.25
