data_sizes,accuracy,most_frequent_sense
0.75,0.72,"['4', 0.5263157894736842]"
0.5,0.6,"['4', 0.6]"
0.25,0.6,"['1', 0.46153846153846156]"
0.0,0.5,"['7', 0.25]"
