data_sizes,accuracy,most_frequent_sense
0.75,0.78,"['1', 0.7631578947368421]"
0.5,0.78,"['1', 0.72]"
0.25,0.82,"['1', 0.6153846153846154]"
0.0,0.72,"['4', 0.2]"
