data_sizes,accuracy,most_frequent_sense
0.75,0.49,"['3', 0.5]"
0.5,0.39,"['3', 0.56]"
0.25,0.37,"['3', 0.5384615384615384]"
0.0,0.29,"['2', 0.3333333333333333]"
