data_sizes,accuracy,most_frequent_sense
0.75,0.55,"['2', 0.7948717948717948]"
0.5,0.6,"['2', 0.8076923076923077]"
0.25,0.57,"['2', 0.6153846153846154]"
0.0,0.17,"['2', 0.25]"
