data_sizes,accuracy,most_frequent_sense
0.75,0.45,"['4', 0.68]"
0.5,0.528,"['4', 0.68]"
0.25,0.6054054054054053,"['4', 0.68]"
0.0,0.3,"['4', 0.68]"
