data_sizes,accuracy,most_frequent_sense
0.75,0.89,"['1', 0.5263157894736842]"
0.5,0.77,"['1', 0.6]"
0.25,0.76,"['2', 0.6153846153846154]"
0.0,0.64,"['2', 0.5]"
