data_sizes,accuracy,most_frequent_sense
0.75,0.63,"['8', 0.5526315789473685]"
0.5,0.54,"['8', 0.56]"
0.25,0.46,"['8', 0.3076923076923077]"
0.0,0.1,"['4', 0.125]"
