data_sizes,accuracy,most_frequent_sense
0.75,0.62,"['1', 0.7368421052631579]"
0.5,0.62,"['1', 0.64]"
0.25,0.61,"['1', 0.5384615384615384]"
0.0,0.5,"['1', 0.3333333333333333]"
