data_sizes,accuracy,most_frequent_sense
0.75,0.33,"['2', 0.3684210526315789]"
0.5,0.29,"['10', 0.24]"
0.25,0.27,"['9', 0.23076923076923078]"
0.0,0.29,"['2', 0.16666666666666666]"
