data_sizes,accuracy,most_frequent_sense
0.75,0.65,"['4', 0.6052631578947368]"
0.5,0.66,"['4', 0.64]"
0.25,0.46,"['1', 0.6153846153846154]"
0.0,0.44,"['1', 0.3333333333333333]"
