data_sizes,accuracy,most_frequent_sense
0.75,0.53,"['1', 0.5945945945945946]"
0.5,0.5,"['1', 0.6]"
0.25,0.56,"['1', 0.5384615384615384]"
0.0,0.47,"['1', 0.3333333333333333]"
