data_sizes,accuracy,most_frequent_sense
0.75,0.48,"['2', 0.42105263157894735]"
0.5,0.63,"['2', 0.36]"
0.25,0.5,"['2', 0.38461538461538464]"
0.0,0.32,"['5', 0.25]"
