,aboutir,investir,traduire,témoigner,juger,justifier,viser,prononcer,accomplir,convenir,acquérir,achever,observer,adapter,admettre,entraîner,payer,respecter,affecter,demeurer,aggraver,agir,ajouter,alimenter,coûter,relancer,préférer,appliquer,apporter,fonder,appuyer,changer,chuter,soutenir,concevoir,interroger,confirmer,transformer,manifester,interpeller,signer,rester,tuer,indiquer,conduire,situer,aider,poursuivre,profiter,détenir,lire,contenir,dominer,noter,dater,adopter,enregistrer,intervenir,conclure,disputer,estimer,appartenir,arriver,chercher,composer,confier,macro_average,micro_average,data_sizes
0,0.83,0.71,0.51,0.93,0.78,0.88,0.56,0.36,0.84,0.35,0.71,0.62,0.74,0.43,0.59,0.81,0.54,0.85,0.58,0.75,0.82,0.41,0.44,0.64,0.36,0.57,0.68,0.58,0.44,0.6,0.69,0.39,0.73,0.69,0.93,0.73,0.41,1.0,0.6,0.97,0.77,0.55,0.7,0.85,0.31,0.95,0.36,0.57,0.88,0.54,0.74,0.46,0.81,0.86,0.85,0.67,0.8,0.58,0.47,0.95,0.76,0.54,0.62,0.61,0.87,0.54,0.6615151515151515,0.5880829015544041,1.0
1,0.83,0.73,0.52,0.89,0.74,0.86,0.6,0.38,0.82,0.39,0.69,0.64,0.74,0.42,0.6,0.8,0.56,0.81,0.55,0.75,0.84,0.45,0.46,0.6,0.38,0.58,0.69,0.56,0.46,0.56,0.64,0.33,0.78,0.7,0.91,0.74,0.4,1.0,0.59,0.97,0.68,0.52,0.68,0.86,0.36,0.96,0.34,0.59,0.88,0.53,0.71,0.45,0.78,0.82,0.84,0.68,0.8,0.55,0.49,0.93,0.75,0.55,0.59,0.59,0.86,0.54,0.6559090909090909,0.5807609475951184,0.75
2,0.77,0.66,0.56,0.92,0.68,0.82,0.6,0.37,0.78,0.35,0.67,0.65,0.66,0.44,0.52,0.77,0.46,0.91,0.47,0.75,0.87,0.43,0.49,0.59,0.4,0.52,0.62,0.57,0.52,0.55,0.66,0.4,0.66,0.63,0.89,0.71,0.4,1.0,0.59,0.95,0.68,0.46,0.78,0.86,0.31,0.93,0.39,0.54,0.83,0.59,0.72,0.46,0.77,0.71,0.85,0.6,0.74,0.61,0.5,0.89,0.76,0.56,0.51,0.56,0.78,0.58,0.6398484848484849,0.5783460282916213,0.5
3,0.68,0.53,0.49,0.83,0.5,0.68,0.58,0.33,0.62,0.32,0.51,0.56,0.63,0.38,0.45,0.64,0.36,0.8,0.25,0.57,0.85,0.42,0.45,0.67,0.47,0.62,0.69,0.5,0.47,0.38,0.6,0.39,0.77,0.43,0.76,0.63,0.38,1.0,0.59,0.9,0.5,0.31,0.63,0.76,0.3,0.9,0.38,0.42,0.7,0.58,0.51,0.44,0.65,-1.0,0.89,0.43,0.63,0.7,0.39,0.8,0.74,0.5,0.46,0.55,0.69,0.63,0.5718461538461538,0.5729216152019002,0.25
