,aboutir,investir,traduire,témoigner,juger,justifier,viser,prononcer,accomplir,convenir,acquérir,achever,observer,adapter,admettre,entraîner,payer,respecter,affecter,demeurer,aggraver,agir,ajouter,alimenter,coûter,relancer,préférer,appliquer,apporter,fonder,appuyer,changer,chuter,soutenir,concevoir,interroger,confirmer,transformer,manifester,interpeller,signer,rester,tuer,indiquer,conduire,situer,aider,poursuivre,profiter,détenir,lire,contenir,dominer,noter,dater,adopter,enregistrer,intervenir,conclure,disputer,estimer,appartenir,arriver,chercher,composer,confier,moyennes,data_sizes
0,0.665,0.3288095238095238,0.7081481481481482,0.4909090909090909,0.28809523809523807,0.43888888888888894,0.9875,0.4033333333333333,0.22888888888888886,0.6380000000000001,0.31999999999999995,0.7113095238095238,0.2763888888888889,0.3811428571428571,0.5978042328042328,0.4333333333333333,0.3173809523809524,0.6844444444444444,0.3732142857142857,0.43240740740740746,0.5599999999999999,0.45166666666666666,0.39678571428571424,0.7441666666666666,0.2663095238095238,0.3444047619047619,0.4912698412698413,0.3898412698412698,0.3325714285714286,0.4429563492063492,0.7282142857142857,0.2841666666666666,0.6266666666666666,0.31309523809523815,0.5,0.43161375661375667,0.37642857142857145,1.0,0.5111111111111111,0.5,0.4533333333333333,0.3676190476190476,0.5957539682539683,0.29518518518518516,0.2961111111111111,0.5,0.3825,0.47958333333333336,0.7,0.6827380952380953,0.36428571428571427,0.3675,0.41944444444444445,1.0,0.9427777777777777,0.3625,0.34285714285714286,0.43190476190476196,0.5316666666666666,0.5,0.9588888888888889,0.3519047619047619,0.32113095238095235,0.5771428571428572,1.0,0.9130952380952382,0.5080938005597097,1.0
1,0.4875,0.3555555555555555,0.72,0.4875,0.3166666666666666,0.5482142857142858,0.9416666666666667,0.27599999999999997,0.2446428571428571,0.49133333333333323,0.27928571428571425,0.8571428571428571,0.3011904761904762,0.5283333333333333,0.5288095238095238,0.5,0.34944444444444445,0.5178571428571429,0.3163095238095238,0.5,0.5732142857142858,0.45249999999999996,0.39416666666666667,0.5916666666666667,0.3958333333333333,0.5488095238095237,0.624047619047619,0.4033333333333333,0.3266666666666666,0.4822222222222223,0.8339285714285716,0.4,0.8699999999999999,0.3273809523809524,0.5,0.4201587301587302,0.33583333333333326,1.0,0.47333333333333333,0.7,0.3333333333333333,0.5826666666666667,0.5538095238095238,0.29642857142857143,0.2811111111111111,0.6,0.4416666666666667,0.5666666666666667,0.85,0.7733333333333333,0.21200000000000002,0.26055555555555554,0.3732142857142857,1.0,0.725,0.5458333333333333,0.4583333333333333,0.43555555555555553,0.5311111111111111,0.6,0.775,0.4595238095238095,0.27261904761904765,0.4222222222222222,1.0,0.735,0.5194777537277538,0.75
2,0.55,0.30999999999999994,0.7288888888888889,0.53,0.45,0.8,0.8949999999999999,0.3825,0.2833333333333333,0.5083333333333333,0.36,0.515,0.3688888888888889,0.5177777777777777,0.5555555555555556,0.4666666666666666,0.2736111111111111,0.43,0.46944444444444444,0.4533333333333333,0.65,0.4194444444444444,0.3947222222222222,0.45833333333333337,0.5166666666666666,0.3416666666666667,0.4333333333333333,0.40555555555555556,0.41666666666666663,0.4155555555555555,0.7916666666666666,0.425,0.6166666666666666,0.3416666666666667,0.6,0.5283333333333333,0.15916666666666668,1.0,0.45888888888888885,0.9,0.4611111111111111,0.4375,0.6,0.4666666666666666,0.27222222222222225,0.5,0.325,0.5525,0.6799999999999999,0.6233333333333333,0.2783333333333333,0.3958333333333333,0.3766666666666666,1.0,0.8,0.39999999999999997,0.65,0.2761111111111111,0.6333333333333333,0.6,0.6333333333333334,0.3722222222222222,0.28583333333333333,0.6644444444444444,1.0,0.6933333333333334,0.5166582491582491,0.5
3,0.8,0.32222222222222224,0.6666666666666666,0.6666666666666667,0.6,0.6666666666666666,0.8,0.3333333333333333,0.3555555555555555,0.29166666666666663,0.3583333333333333,0.8166666666666667,0.425,0.4083333333333333,0.4833333333333333,0.6666666666666666,0.3333333333333333,0.4333333333333333,0.15,0.9333333333333332,0.6666666666666667,0.5333333333333333,0.4666666666666667,0.41666666666666663,0.5833333333333333,0.5333333333333333,0.5666666666666667,0.36666666666666664,0.3583333333333333,0.45,0.8666666666666666,0.19166666666666665,0.65,0.275,0.7,0.5333333333333333,0.3333333333333333,1.0,0.4888888888888888,0.9,0.7666666666666666,0.4833333333333333,0.5666666666666667,0.5999999999999999,0.37,0.8,0.4416666666666666,0.35,0.8,0.6166666666666666,0.3833333333333333,0.31666666666666665,0.6222222222222222,-1.0,1.0,0.4666666666666666,0.8333333333333333,0.4833333333333333,0.7,0.9,0.8166666666666667,0.5333333333333333,0.4833333333333333,0.5666666666666667,0.9333333333333332,0.7666666666666666,0.569111111111111,0.25
