data_sizes,accuracy,most_frequent_sense
0.75,0.51,"['7', 0.7241379310344828]"
0.5,0.57,"['7', 0.7368421052631579]"
0.25,0.61,"['7', 0.5]"
0.0,0.36,"['7', 0.25]"
