data_sizes,accuracy,most_frequent_sense
0.75,0.25,"['4', 0.3611111111111111]"
0.5,0.29,"['1', 0.4166666666666667]"
0.25,0.21,"['4', 0.4166666666666667]"
0.0,0.2,"['4', 0.2]"
