data_sizes,accuracy,most_frequent_sense
0.75,0.52,"['2', 0.6842105263157895]"
0.5,0.49,"['2', 0.6]"
0.25,0.51,"['2', 0.5384615384615384]"
0.0,0.16,"['2', 0.16666666666666666]"
