data_sizes,accuracy,most_frequent_sense
0.75,0.57,"['3', 0.47368421052631576]"
0.5,0.43,"['3', 0.44]"
0.25,0.41,"['3', 0.38461538461538464]"
0.0,0.33,"['4', 0.2]"
