data_sizes,accuracy,most_frequent_sense
0.75,0.68,"['2', 0.868421052631579]"
0.5,0.66,"['2', 0.8]"
0.25,0.56,"['2', 0.6923076923076923]"
0.0,0.38,"['2', 0.3333333333333333]"
