data_sizes,accuracy,most_frequent_sense
0.75,0.22,"['2', 0.3684210526315789]"
0.5,0.4,"['3', 0.36]"
0.25,0.27,"['3', 0.3076923076923077]"
0.0,0.28,"['4', 0.2]"
