data_sizes,accuracy,most_frequent_sense
0.75,0.75,"['1', 0.8421052631578947]"
0.5,0.75,"['1', 0.84]"
0.25,0.71,"['1', 0.7692307692307693]"
0.0,0.65,"['1', 0.5]"
