data_sizes,accuracy,most_frequent_sense
0.75,0.65,"['4', 0.6296296296296297]"
0.5,0.79,"['4', 0.7222222222222222]"
0.25,0.77,"['4', 0.5555555555555556]"
0.0,0.67,"['1', 0.5]"
