data_sizes,accuracy,most_frequent_sense
0.75,0.42,"['1', 0.42105263157894735]"
0.5,0.25,"['1', 0.36]"
0.25,0.37,"['4', 0.3076923076923077]"
0.0,0.23,"['4', 0.2]"
