data_sizes,accuracy,most_frequent_sense
0.75,0.88,"['1', 0.8108108108108109]"
0.5,0.91,"['1', 0.8]"
0.25,0.89,"['1', 0.7692307692307693]"
0.0,0.86,"['2', 0.5]"
