data_sizes,accuracy,most_frequent_sense
0.75,0.89,"['2', 0.868421052631579]"
0.5,0.82,"['2', 0.8]"
0.25,0.68,"['2', 0.8461538461538461]"
0.0,0.15,"['7', 0.3333333333333333]"
