data_sizes,accuracy,most_frequent_sense
0.75,0.52,"['2', 0.5789473684210527]"
0.5,0.5,"['2', 0.64]"
0.25,0.5,"['2', 0.6923076923076923]"
0.0,0.33,"['2', 0.3333333333333333]"
