data_sizes,accuracy,most_frequent_sense
0.75,0.58,"['2', 0.7297297297297297]"
0.5,0.69,"['2', 0.72]"
0.25,0.58,"['2', 0.5384615384615384]"
0.0,0.36,"['5', 0.25]"
