data_sizes,accuracy,most_frequent_sense
0.75,0.52,"['4', 0.5897435897435898]"
0.5,0.51,"['4', 0.46153846153846156]"
0.25,0.47,"['4', 0.38461538461538464]"
0.0,0.27,"['4', 0.16666666666666666]"
