data_sizes,accuracy,most_frequent_sense
0.75,0.52,"['4', 0.5789473684210527]"
0.5,0.57,"['4', 0.56]"
0.25,0.55,"['4', 0.46153846153846156]"
0.0,0.28,"['4', 0.2]"
