data_sizes,accuracy,most_frequent_sense
0.75,0.33,"['2', 0.3684210526315789]"
0.5,0.4,"['7', 0.32]"
0.25,0.36,"['2', 0.23076923076923078]"
0.0,0.3,"['2', 0.2]"
