,aboutir,investir,traduire,témoigner,juger,justifier,viser,prononcer,accomplir,convenir,acquérir,achever,observer,adapter,admettre,entraîner,payer,respecter,affecter,demeurer,aggraver,agir,ajouter,alimenter,coûter,relancer,préférer,appliquer,apporter,fonder,appuyer,changer,chuter,soutenir,concevoir,interroger,confirmer,transformer,manifester,interpeller,signer,rester,tuer,indiquer,conduire,situer,aider,poursuivre,profiter,détenir,lire,contenir,dominer,noter,dater,adopter,enregistrer,intervenir,conclure,disputer,estimer,appartenir,arriver,chercher,composer,confier,macro_average,micro_average,data_sizes
0,0.84,0.6,0.77,0.82,0.72,0.84,0.97,0.49,0.65,0.62,0.59,0.89,0.49,0.52,0.7,0.8,0.51,0.78,0.62,0.69,0.85,0.66,0.58,0.71,0.43,0.35,0.6,0.53,0.54,0.62,0.75,0.32,0.78,0.65,0.87,0.62,0.42,1.0,0.55,0.92,0.8,0.58,0.72,0.73,0.34,0.89,0.43,0.65,0.95,0.73,0.62,0.45,0.74,0.9,0.93,0.62,0.73,0.62,0.7,0.92,0.83,0.53,0.51,0.65,1.0,0.82,0.6825757575757575,0.6722797927461139,1.0
1,0.84,0.48,0.76,0.84,0.67,0.8,0.89,0.39,0.59,0.53,0.55,0.8,0.48,0.51,0.71,0.82,0.53,0.67,0.53,0.78,0.8,0.63,0.56,0.67,0.4,0.4,0.69,0.48,0.56,0.58,0.84,0.3,0.77,0.46,0.89,0.66,0.46,1.0,0.58,0.89,0.58,0.46,0.67,0.76,0.27,0.91,0.48,0.65,0.87,0.62,0.52,0.49,0.76,1.0,0.87,0.48,0.78,0.71,0.73,0.93,0.82,0.38,0.49,0.62,1.0,0.69,0.6565151515151515,0.6582914572864321,0.75
2,0.77,0.57,0.71,0.77,0.71,0.87,0.97,0.38,0.68,0.42,0.58,0.73,0.52,0.46,0.74,0.7,0.35,0.8,0.55,0.68,0.66,0.55,0.52,0.67,0.57,0.4,0.53,0.43,0.47,0.71,0.77,0.26,0.84,0.54,0.9,0.69,0.52,1.0,0.57,1.0,0.72,0.41,0.63,0.68,0.19,0.8,0.35,0.74,0.83,0.63,0.5,0.44,0.75,0.9,0.94,0.71,0.63,0.6,0.63,0.91,0.77,0.42,0.36,0.74,0.9,0.86,0.6454545454545454,0.6512513601741022,0.5
3,0.68,0.35,0.63,0.7,0.73,0.73,0.85,0.45,0.65,0.45,0.45,0.65,0.55,0.63,0.85,0.85,0.25,0.85,0.47,0.8,0.7,0.47,0.61,0.65,0.32,0.35,0.6,0.32,0.32,0.71,0.7,0.43,0.8,0.46,0.7,0.49,0.48,1.0,0.42,0.9,0.48,0.49,0.35,0.82,0.29,0.9,0.18,0.4,0.8,0.7,0.55,0.5,0.69,-1.0,0.75,0.34,0.7,0.52,0.54,1.0,0.8,0.35,0.5,0.47,1.0,0.9,0.6003076923076923,0.6403800475059382,0.25
