data_sizes,accuracy,most_frequent_sense
0.75,0.35,"['4', 0.6052631578947368]"
0.5,0.43,"['4', 0.56]"
0.25,0.45,"['4', 0.5384615384615384]"
0.0,0.27,"['4', 0.2]"
