data_sizes,accuracy,most_frequent_sense
0.75,0.53,"['1', 0.7105263157894737]"
0.5,0.6,"['1', 0.68]"
0.25,0.55,"['2', 0.5384615384615384]"
0.0,0.57,"['1', 0.5]"
