data_sizes,accuracy,most_frequent_sense
0.75,0.34,"['2', 0.40540540540540543]"
0.5,0.45,"['3', 0.44]"
0.25,0.4,"['2', 0.38461538461538464]"
0.0,0.27,"['2', 0.2]"
