data_sizes,accuracy,most_frequent_sense
0.75,0.38,"['1', 0.3684210526315789]"
0.5,0.43,"['3', 0.36]"
0.25,0.37,"['3', 0.38461538461538464]"
0.0,0.35,"['2', 0.2]"
