data_sizes,accuracy,most_frequent_sense
0.75,0.75,"['2', 0.8108108108108109]"
0.5,0.72,"['2', 0.88]"
0.25,0.68,"['2', 0.7692307692307693]"
0.0,0.74,"['2', 0.5]"
