data_sizes,accuracy,most_frequent_sense
0.75,0.7,"['1', 0.5128205128205128]"
0.5,0.77,"['1', 0.5384615384615384]"
0.25,0.65,"['1', 0.5384615384615384]"
0.0,0.54,"['1', 0.5]"
