data_sizes,accuracy,most_frequent_sense
0.75,0.5,"['1', 0.6923076923076923]"
0.5,0.54,"['1', 0.7307692307692307]"
0.25,0.46,"['1', 0.5384615384615384]"
0.0,0.22,"['4', 0.2]"
