data_sizes,accuracy,most_frequent_sense
0.75,0.34,"['6', 0.631578947368421]"
0.5,0.42,"['6', 0.52]"
0.25,0.37,"['1', 0.5384615384615384]"
0.0,0.24,"['4', 0.25]"
