data_sizes,accuracy,most_frequent_sense
0.75,0.67,"['6', 0.717948717948718]"
0.5,0.71,"['6', 0.7307692307692307]"
0.25,0.58,"['6', 0.6923076923076923]"
0.0,0.27,"['5', 0.25]"
