data_sizes,accuracy,most_frequent_sense
0.75,0.42,"['1', 0.5897435897435898]"
0.5,0.38,"['1', 0.46153846153846156]"
0.25,0.38,"['1', 0.38461538461538464]"
0.0,0.16,"['2', 0.16666666666666666]"
