,aboutir,investir,traduire,témoigner,juger,justifier,viser,prononcer,accomplir,convenir,acquérir,achever,observer,adapter,admettre,entraîner,payer,respecter,affecter,demeurer,aggraver,agir,ajouter,alimenter,coûter,relancer,préférer,appliquer,apporter,fonder,appuyer,changer,chuter,soutenir,concevoir,interroger,confirmer,transformer,manifester,interpeller,signer,rester,tuer,indiquer,conduire,situer,aider,poursuivre,profiter,détenir,lire,contenir,dominer,noter,dater,adopter,enregistrer,intervenir,conclure,disputer,estimer,appartenir,arriver,chercher,composer,confier,macro_average,micro_average,data_sizes
0,0.834,0.6479999999999999,0.5199999999999999,0.8880000000000001,0.752,0.8459999999999999,0.544,0.362,0.8140000000000001,0.35200000000000004,0.6659999999999999,0.5840000000000001,0.6519999999999999,0.404,0.54,0.784,0.532,0.852,0.5640000000000001,0.714,0.8320000000000001,0.418,0.43200000000000005,0.6319999999999999,0.342,0.5700000000000001,0.6580000000000001,0.5800000000000001,0.42400000000000004,0.558,0.688,0.366,0.71,0.642,0.9019999999999999,0.71,0.36600000000000005,1.0,0.528,0.95,0.7540000000000001,0.476,0.692,0.8380000000000001,0.30200000000000005,0.9380000000000001,0.342,0.546,0.8619999999999999,0.558,0.668,0.422,0.734,0.86,0.8160000000000001,0.61,0.758,0.558,0.48599999999999993,0.9200000000000002,0.764,0.5359999999999999,0.57,0.592,0.8320000000000001,0.542,0.64,0.0,0.75
1,0.784,0.6880000000000001,0.52,0.9199999999999999,0.716,0.808,0.5920000000000001,0.328,0.77,0.35200000000000004,0.638,0.624,0.6479999999999999,0.392,0.532,0.7520000000000001,0.492,0.792,0.52,0.6860000000000002,0.752,0.43199999999999994,0.41600000000000004,0.64,0.386,0.536,0.68,0.576,0.41600000000000004,0.492,0.6880000000000001,0.35,0.6900000000000001,0.6000000000000001,0.9120000000000001,0.68,0.384,1.0,0.512,0.952,0.744,0.4800000000000001,0.672,0.8320000000000001,0.32,0.9120000000000001,0.328,0.552,0.8400000000000001,0.5780000000000001,0.6080000000000001,0.45600000000000007,0.724,0.78,0.8560000000000001,0.536,0.6900000000000001,0.5840000000000001,0.45599999999999996,0.8960000000000001,0.77,0.536,0.5519999999999999,0.552,0.8459999999999999,0.528,0.63,0.0,0.5
2,0.708,0.634,0.44399999999999995,0.8619999999999999,0.6199999999999999,0.754,0.6180000000000001,0.294,0.662,0.34,0.47800000000000004,0.5860000000000001,0.51,0.33799999999999997,0.516,0.678,0.42800000000000005,0.754,0.414,0.7020000000000001,0.8,0.43,0.44400000000000006,0.508,0.418,0.508,0.678,0.44400000000000006,0.38199999999999995,0.39799999999999996,0.662,0.35,0.6479999999999999,0.47800000000000004,0.818,0.648,0.398,1.0,0.396,0.8779999999999999,0.5860000000000001,0.33599999999999997,0.632,0.708,0.32199999999999995,0.8620000000000001,0.352,0.396,0.818,0.5700000000000001,0.526,0.41200000000000003,0.6599999999999999,0.6,0.8460000000000001,0.44400000000000006,0.598,0.616,0.476,0.834,0.664,0.44399999999999995,0.472,0.6020000000000001,0.708,0.5720000000000001,0.57,0.0,0.25
3,0.25,0.25,0.33,0.5,0.25,0.25,0.5,0.2,0.25,0.2,0.2,0.33,0.25,0.2,0.25,0.25,0.17,0.5,0.12,0.25,0.5,0.2,0.25,0.33,0.25,0.33,0.33,0.33,0.2,0.17,0.25,0.2,0.5,0.17,0.33,0.33,0.25,1.0,0.33,0.5,0.2,0.14,0.5,0.33,0.17,0.5,0.2,0.2,0.33,0.5,0.2,0.2,0.25,0.33,0.5,0.2,0.25,0.33,0.25,0.33,0.5,0.25,0.17,0.25,0.25,0.5,0.3,0.0,0.0
