data_sizes,accuracy,most_frequent_sense
0.75,0.85,"['2', 0.8947368421052632]"
0.5,0.8,"['2', 0.92]"
0.25,0.76,"['2', 0.8461538461538461]"
0.0,0.24,"['2', 0.3333333333333333]"
