data_sizes,accuracy,most_frequent_sense
0.75,0.8,"['5', 0.9487179487179487]"
0.5,0.78,"['5', 0.9230769230769231]"
0.25,0.81,"['5', 0.8461538461538461]"
0.0,0.15,"['5', 0.3333333333333333]"
