data_sizes,accuracy,most_frequent_sense
0.75,0.58,"['2', 0.5833333333333334]"
0.5,0.63,"['2', 0.4583333333333333]"
0.25,0.63,"['2', 0.5]"
0.0,0.4,"['2', 0.25]"
