data_sizes,accuracy,most_frequent_sense
0.75,1.0,"['1', 0.8461538461538461]"
0.5,0.94,"['1', 0.8076923076923077]"
0.25,0.94,"['1', 0.6923076923076923]"
0.0,0.69,"['9', 0.25]"
