data_sizes,accuracy,most_frequent_sense
0.75,0.58,"['1', 0.5789473684210527]"
0.5,0.56,"['1', 0.56]"
0.25,0.6,"['1', 0.46153846153846156]"
0.0,0.47,"['1', 0.3333333333333333]"
