data_sizes,accuracy,most_frequent_sense
0.75,0.72,"['1', 0.631578947368421]"
0.5,0.73,"['5', 0.48]"
0.25,0.69,"['1', 0.6153846153846154]"
0.0,0.46,"['5', 0.3333333333333333]"
