data_sizes,accuracy,most_frequent_sense
0.75,0.85,"['3', 0.8571428571428571]"
0.5,0.84,"['3', 0.7777777777777778]"
0.25,0.78,"['3', 0.6]"
0.0,0.24,"['5', 0.3333333333333333]"
