data_sizes,accuracy,most_frequent_sense
0.75,0.48,"['4', 0.631578947368421]"
0.5,0.53,"['4', 0.6]"
0.25,0.5,"['4', 0.6153846153846154]"
0.0,0.32,"['4', 0.25]"
