data_sizes,accuracy,most_frequent_sense
0.75,0.85,"['5', 0.9736842105263158]"
0.5,0.78,"['5', 0.96]"
0.25,0.85,"['5', 0.9230769230769231]"
0.0,0.41,"['5', 0.5]"
