data_sizes,accuracy,most_frequent_sense
0.75,0.82,"['4', 0.6857142857142857]"
0.5,0.66,"['4', 0.7391304347826086]"
0.25,0.66,"['4', 0.6666666666666666]"
0.0,0.58,"['2', 0.25]"
