data_sizes,accuracy,most_frequent_sense
0.75,0.31,"['1', 0.5952380952380952]"
0.5,0.41,"['1', 0.5]"
0.25,0.39,"['1', 0.42857142857142855]"
0.0,0.19,"['4', 0.16666666666666666]"
