data_sizes,accuracy,most_frequent_sense
0.75,0.82,"['2', 0.9210526315789473]"
0.5,0.86,"['2', 0.88]"
0.25,0.81,"['2', 0.7692307692307693]"
0.0,0.75,"['2', 0.5]"
