data_sizes,accuracy,most_frequent_sense
0.75,0.53,"['1', 0.5263157894736842]"
0.5,0.46,"['1', 0.44]"
0.25,0.41,"['1', 0.3076923076923077]"
0.0,0.26,"['4', 0.14285714285714285]"
