data_sizes,accuracy,most_frequent_sense
0.75,0.57,"['1', 0.631578947368421]"
0.5,0.62,"['1', 0.52]"
0.25,0.63,"['1', 0.5384615384615384]"
0.0,0.49,"['2', 0.2]"
