data_sizes,accuracy,most_frequent_sense
0.75,0.95,"['4', 0.5263157894736842]"
0.5,0.86,"['4', 0.64]"
0.25,0.83,"['4', 0.6153846153846154]"
0.0,0.68,"['4', 0.5]"
