data_sizes,accuracy,most_frequent_sense
0.75,0.45,"['2', 0.39473684210526316]"
0.5,0.38,"['5', 0.36]"
0.25,0.38,"['5', 0.38461538461538464]"
0.0,0.35,"['5', 0.25]"
