data_sizes,accuracy,most_frequent_sense
0.75,0.58,"['2', 0.868421052631579]"
0.5,0.66,"['2', 0.8]"
0.25,0.63,"['2', 0.7692307692307693]"
0.0,0.17,"['2', 0.25]"
