data_sizes,accuracy,most_frequent_sense
0.75,0.78,"['1a', 0.4594594594594595]"
0.5,0.78,"['1a', 0.64]"
0.25,0.62,"['1b', 0.46153846153846156]"
0.0,0.53,"['3a', 0.25]"
