data_sizes,accuracy,most_frequent_sense
0.75,0.6,"['1', 0.3611111111111111]"
0.5,0.53,"['3', 0.3333333333333333]"
0.25,0.51,"['1', 0.4166666666666667]"
0.0,0.3,"['1', 0.25]"
