data_sizes,accuracy,most_frequent_sense
0.75,0.78,"['3', 0.7948717948717948]"
0.5,0.77,"['3', 0.8461538461538461]"
0.25,0.71,"['3', 0.7692307692307693]"
0.0,0.64,"['1', 0.5]"
