data_sizes,accuracy,most_frequent_sense
0.75,0.75,"['1', 0.9210526315789473]"
0.5,0.85,"['1', 0.92]"
0.25,0.85,"['1', 0.9230769230769231]"
0.0,0.54,"['1', 0.5]"
